director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
A. Salaam,Joy Mukherjee,Madan Puri,abc,Action,aag aur daag,A. SalaamJoy MukherjeeMadan PuriabcActionaag aur daag
Mukul Dutt,Asha Parekh,Rajesh Khanna,Vinod Khanna,Drama,aan milo sajna,Asha Parekh Rajesh Khanna Vinod Khanna Mukul Dutt Drama
P. Madhavan,Bindu,Padmini,abc,Drama,aansoo aur muskan,P. Madhavan Bindu Padmini abc Drama aansoo aur muskan
Subodh Mukherjee,Shashi Kapoor,Hema Malini,Deb Mukherjee,Drama,abhinetri,Subodh Mukherjee Shashi Kapoor Hema Malini Deb Mukherjee Drama abhinetri
Kotayya Pratyagatma,Sanjeev Kumar,Tanuja,abc,Drama,bachpan,Kotayya Pratyagatma Sanjeev Kumar Tanuja abc Drama bachpan
Babubhai Mistri,Abhi Bhattacharya,Jayshree Gadkar,abc,Drama,bhagwan parshuram,Babubhai Mistri Abhi Bhattacharya Jayshree Gadkar abc Drama bhagwan parshuram
Raja Nawathe,Sunil Dutt,Asha Parekh,Mumtaz,Drama,bhai-bhai,Raja Nawathe Sunil Dutt Asha Parekh Mumtaz Drama bhai-bhai
James Ivory,Shashi Kapoor,Jennifer Kendal,abc,abc,bombay talkie,James Ivory Shashi Kapoor Jennifer Kendal abc abc bombay talkie
B.R. Ishara,Shatrughan Sinha,Anil Dhawan,abc,Action,chetna,B.R. Ishara Shatrughan Sinha Anil Dhawan abc Action chetna
Mohammed Hussain,Madan Puri,abc,abc,Drama,choron ka chor,Mohammed Hussain Madan Puri abc abc Drama choron ka chor
Adurthi Subba Rao,Sunil Dutt,Waheeda Rehman,abc,Drama,darpan,Adurthi Subba Rao Sunil Dutt Waheeda Rehman abc Drama darpan
Rajinder Singh Bedi,Sanjeev Kumar,abc,abc,Drama,dastak,Rajinder Singh Bedi Sanjeev Kumar abc abc Drama dastak
Jugal Kishore,Dheeraj Kumar,Anjana Choudhury,abc,Drama,deedar,Jugal Kishore Dheeraj Kumar Anjana Choudhury abc Drama deedar
Madhusudan Rao V.,Nutan,Sanjeev Kumar,Madan Puri,Drama,devi,Madhusudan Rao V. Nutan Sanjeev Kumar Madan Puri Drama devi
Sridhar,Rajendra Kumar,Waheeda Rehman,abc,Action,dharti,Sridhar Rajendra Kumar Waheeda Rehman abc Action dharti
Shiv Kumar,Helen,Aruna Irani,abc,Drama,ehsan,Shiv Kumar Helen Aruna Irani abc Drama ehsan
Vishram Bedekar,Prithviraj Kapoor,Mumtaz,Helen,Drama,ek nanhi munni ladki thi,Vishram Bedekar Prithviraj Kapoor Mumtaz Helen Drama ek nanhi munni ladki thi
Naresh Kumar,Vyjayanthimala,Rajendra Kumar,Pran,Romance,ganwaar,Naresh Kumar Vyjayanthimala Rajendra Kumar Pran Romance ganwaar
Ramanand Sagar,Rajendra Kumar,Mala Sinha,Sujeet Kumar,Drama,geet,Ramanand Sagar Rajendra Kumar Mala Sinha Sujeet Kumar Drama geet
T. Prakash Rao,Balraj Sahani,Nirupa Roy,Rakesh Roshan,Drama,ghar ghar ki kahani,T. Prakash Rao Balraj Sahani Nirupa Roy Rakesh Roshan Drama ghar ghar ki kahani
A. Bhimsingh,Dilip Kumar,Saira Banu,Om Prakash,abc,gopi,A. Bhimsingh Dilip Kumar Saira Banu Om Prakash abc gopi
B.R. Ishara,Sanjeev Kumar,Prithviraj Kapoor,abc,Drama,gunah aur kanoon,B.R. Ishara Sanjeev Kumar Prithviraj Kapoor abc Drama gunah aur kanoon
Chetan Anand,Prithviraj Kapoor,Raaj Kumar,Pran,Romance,heer raanjha,Chetan Anand Prithviraj Kapoor Raaj Kumar Pran Romance heer raanjha
Ravikant Nagaich,Jeetendra,Mumtaz,Prem Chopra,Romance,himmat,Ravikant Nagaich Jeetendra Mumtaz Prem Chopra Romance himmat
Harsukh Jagneshwar Bhatt,Shatrughan Sinha,Mala Sinha,abc,Romance,holi ayee re,Harsukh Jagneshwar Bhatt Shatrughan Sinha Mala Sinha abc Romance holi ayee re
Ramanna,Jeetendra,Leena Chandavarkar,Pran,Comedy,humjoli,Ramanna Jeetendra Leena Chandavarkar Pran Comedy humjoli
Aspi Irani,Sanjeev Kumar,Aruna Irani,abc,Action,insaan aur shaitan,Aspi Irani Sanjeev Kumar Aruna Irani abc Action insaan aur shaitan
Chand,Helen,Joy Mukherjee,abc,Action,inspector,Chand Helen Joy Mukherjee abc Action inspector
Ramesh Saigal,Dharmendra,Sadhana Shivdasani,abc,Romance,ishq par zor nahin,Ramesh Saigal Dharmendra Sadhana Shivdasani abc Romance ishq par zor nahin
Ramaana,Mehmood Ali,Aruna Irani,Prem Chopra,Romance,jawab,Ramaana Mehmood Ali Aruna Irani Prem Chopra Romance jawab
Satyen Bose,Dharmendra,Raakhee,abc,Romance,jeevan mrityu,Satyen Bose Dharmendra Raakhee abc Romance jeevan mrityu
Vijay Anand,Dev Anand,Hema Malini,Pran,Crime Drama,johny mera naam,Vijay Anand Dev Anand Hema Malini Pran Crime Drama johny mera naam
Anil Hingorani,Dharmendra,Babita,Pran,Mystery,kab? kyoon? aur kahan?,Anil Hingorani Dharmendra Babita Pran Mystery kab? kyoon? aur kahan?
Chander Vohra,Jeetendra,Mumtaz,Sanjeev Kumar,Romance,khilona,Chander Vohra Jeetendra Mumtaz Sanjeev Kumar Romance khilona
Asit Sen,Nutan,Ashok Kumar,abc,Drama,maa aur mamta,Asit Sen Nutan Ashok Kumar abc Drama maa aur mamta
Jagdev Bhambri,Sanjeev Kumar,Leela Mishra,abc,Drama,maa ka aanchal,Jagdev Bhambri Sanjeev Kumar Leela Mishra abc Drama maa ka aanchal
Naresh Saigal,Sanjay Khan,Nutan,Nirupa Roy,Drama,maharaja,Naresh Saigal Sanjay Khan Nutan Nirupa Roy Drama maharaja
Raghunath Jhalani,Dharmendra,Waheeda Rehman,abc,Drama,man ki aankhen,Raghunath Jhalani Dharmendra Waheeda Rehman abc Drama man ki aankhen
Adurthi Subba Rao,Mehmood,Vinod Khanna,Bharathi Vishnuvardhan,Comedy,mastana,Adurthi Subba Rao Mehmood Vinod Khanna Bharathi Vishnuvardhan Comedy mastana
Raj Kapoor,Raj Kapoor,Rajendra Kumar,Manoj Kumar,"Drama, Musical",mera naam joker,"Raj Kapoor Raj Kapoor Rajendra Kumar Manoj Kumar Drama, Musical mera naam joker"
Dulal Guha,Jeetendra,Sharmila Tagore,abc,Romance,mere humsafar,Dulal Guha Jeetendra Sharmila Tagore abc Romance mere humsafar
